dataset=CAER
workers=32
epochs=50
batch_size=128
lr=0.01
lr_image_encoder=1e-05
lr_prompt_learner=0.001
weight_decay=0.0001
momentum=0.9
print_freq=10
milestones=[30, 40]
contexts_number=8
class_token_position=end
class_specific_contexts=True
load_and_tune_prompt_learner=False
text_type=class_names_with_context
exper_name=None
seed=1
temporal_layers=1
********************0********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [0][  0/381]	Loss 2.4779 (2.4779)	Accuracy 17.969 (17.969)
Epoch: [1][ 30/381]	Loss 1.4227 (1.4960)	Accuracy 42.188 (38.080)
Epoch: [1][ 40/381]	Loss 1.5638 (1.4741)	Accuracy 45.312 (39.482)
Epoch: [1][ 50/381]	Loss 1.3911 (1.4618)	Accuracy 39.062 (40.074)
Epoch: [1][ 60/381]	Loss 1.5421 (1.4560)	Accuracy 43.750 (40.561)
Epoch: [1][ 70/381]	Loss 1.3276 (1.4447)	Accuracy 46.875 (41.065)
Epoch: [1][ 80/381]	Loss 1.4316 (1.4374)	Accuracy 43.750 (41.551)
Epoch: [1][ 90/381]	Loss 1.3074 (1.4311)	Accuracy 43.750 (41.784)
Epoch: [1][100/381]	Loss 1.2113 (1.4137)	Accuracy 50.000 (42.582)
Epoch: [1][110/381]	Loss 1.2679 (1.4025)	Accuracy 48.438 (43.257)
Epoch: [1][120/381]	Loss 1.4372 (1.3966)	Accuracy 48.438 (43.601)
Epoch: [1][130/381]	Loss 1.1968 (1.3869)	Accuracy 57.812 (44.096)
Epoch: [1][140/381]	Loss 1.3800 (1.3746)	Accuracy 46.875 (44.819)
Epoch: [1][150/381]	Loss 1.2067 (1.3644)	Accuracy 51.562 (45.209)
Epoch: [1][160/381]	Loss 1.0100 (1.3576)	Accuracy 62.500 (45.521)
Epoch: [1][170/381]	Loss 1.3175 (1.3510)	Accuracy 50.000 (45.820)
Epoch: [1][180/381]	Loss 1.1969 (1.3417)	Accuracy 57.812 (46.275)
Epoch: [1][190/381]	Loss 1.2758 (1.3360)	Accuracy 52.344 (46.576)
Epoch: [1][200/381]	Loss 1.1454 (1.3245)	Accuracy 54.688 (47.050)
Epoch: [1][210/381]	Loss 1.1415 (1.3155)	Accuracy 59.375 (47.516)
Epoch: [1][220/381]	Loss 0.9764 (1.3039)	Accuracy 64.062 (48.141)
Epoch: [1][230/381]	Loss 1.0924 (1.2956)	Accuracy 60.156 (48.610)
Epoch: [1][240/381]	Loss 1.1099 (1.2881)	Accuracy 58.594 (48.979)
Epoch: [1][250/381]	Loss 0.9023 (1.2793)	Accuracy 71.094 (49.356)
Epoch: [1][260/381]	Loss 1.0850 (1.2713)	Accuracy 58.594 (49.767)
Epoch: [1][270/381]	Loss 0.9052 (1.2622)	Accuracy 67.188 (50.190)
Epoch: [1][280/381]	Loss 0.9427 (1.2555)	Accuracy 66.406 (50.553)
Epoch: [1][290/381]	Loss 1.2197 (1.2491)	Accuracy 50.781 (50.875)
Epoch: [1][300/381]	Loss 1.0076 (1.2417)	Accuracy 63.281 (51.199)
Epoch: [1][310/381]	Loss 1.0383 (1.2348)	Accuracy 59.375 (51.615)
Epoch: [1][320/381]	Loss 0.8729 (1.2279)	Accuracy 67.969 (51.957)
Epoch: [1][330/381]	Loss 0.9434 (1.2217)	Accuracy 63.281 (52.219)
Epoch: [1][340/381]	Loss 0.9451 (1.2155)	Accuracy 62.500 (52.497)
Epoch: [1][350/381]	Loss 1.2356 (1.2083)	Accuracy 55.469 (52.842)
Epoch: [1][360/381]	Loss 0.9533 (1.2021)	Accuracy 63.281 (53.142)
Epoch: [1][370/381]	Loss 0.9962 (1.1948)	Accuracy 63.281 (53.475)
Epoch: [1][380/381]	Loss 1.0062 (1.1878)	Accuracy 61.719 (53.808)
Test: [  0/109]	Loss 0.8338 (0.8338)	Accuracy 67.969 (67.969)
Test: [ 10/109]	Loss 1.0638 (0.9113)	Accuracy 66.406 (66.548)
Test: [ 20/109]	Loss 0.8769 (0.9260)	Accuracy 67.969 (66.257)
Test: [ 30/109]	Loss 0.9299 (0.9240)	Accuracy 69.531 (66.356)
Test: [ 40/109]	Loss 1.0522 (0.9158)	Accuracy 62.500 (66.959)
Test: [ 50/109]	Loss 0.8497 (0.9261)	Accuracy 64.844 (66.835)
Test: [ 60/109]	Loss 0.8024 (0.9270)	Accuracy 71.094 (66.778)
Test: [ 70/109]	Loss 0.9197 (0.9251)	Accuracy 66.406 (66.648)
Test: [ 80/109]	Loss 0.9573 (0.9258)	Accuracy 66.406 (66.676)
Test: [ 90/109]	Loss 0.7847 (0.9231)	Accuracy 70.312 (66.818)
Test: [100/109]	Loss 0.8542 (0.9199)	Accuracy 67.969 (66.878)
Current Accuracy: 66.691
The best accuracy: 66.6905746459961
An epoch time: 99.3230528831482s
********************2********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [2][  0/381]	Loss 0.8237 (0.8237)	Accuracy 71.875 (71.875)
Epoch: [2][ 10/381]	Loss 0.8005 (0.7368)	Accuracy 68.750 (72.940)
Epoch: [2][ 20/381]	Loss 0.8655 (0.7456)	Accuracy 66.406 (72.321)
Epoch: [2][ 30/381]	Loss 0.6631 (0.7400)	Accuracy 80.469 (72.833)
Epoch: [2][ 40/381]	Loss 0.8320 (0.7389)	Accuracy 72.656 (73.133)
Epoch: [2][ 50/381]	Loss 0.5296 (0.7236)	Accuracy 80.469 (73.468)
Epoch: [2][ 60/381]	Loss 0.7892 (0.7159)	Accuracy 71.094 (73.796)
Epoch: [2][ 70/381]	Loss 0.7693 (0.7088)	Accuracy 70.312 (73.933)
Epoch: [2][ 80/381]	Loss 0.6968 (0.7062)	Accuracy 74.219 (74.132)
Epoch: [2][ 90/381]	Loss 0.6082 (0.7011)	Accuracy 76.562 (74.296)
Epoch: [2][100/381]	Loss 0.5808 (0.6915)	Accuracy 79.688 (74.582)
Epoch: [2][110/381]	Loss 0.8514 (0.6886)	Accuracy 73.438 (74.852)
Epoch: [2][120/381]	Loss 0.7863 (0.6904)	Accuracy 67.969 (74.722)
Epoch: [2][130/381]	Loss 0.7391 (0.6889)	Accuracy 75.000 (74.827)
Epoch: [2][140/381]	Loss 0.6118 (0.6860)	Accuracy 75.000 (74.895)
Epoch: [2][150/381]	Loss 0.5721 (0.6831)	Accuracy 79.688 (75.000)
Epoch: [2][160/381]	Loss 0.5807 (0.6773)	Accuracy 83.594 (75.262)
Epoch: [2][170/381]	Loss 0.7680 (0.6752)	Accuracy 76.562 (75.329)
Epoch: [2][180/381]	Loss 0.5042 (0.6727)	Accuracy 85.938 (75.466)
Epoch: [2][190/381]	Loss 0.5572 (0.6666)	Accuracy 75.781 (75.704)
Epoch: [2][200/381]	Loss 0.6470 (0.6658)	Accuracy 75.781 (75.781)
Epoch: [2][210/381]	Loss 0.6599 (0.6627)	Accuracy 75.000 (75.940)
Epoch: [2][220/381]	Loss 0.4938 (0.6568)	Accuracy 82.812 (76.106)
Epoch: [2][230/381]	Loss 0.5549 (0.6539)	Accuracy 80.469 (76.292)
Epoch: [2][240/381]	Loss 0.5804 (0.6516)	Accuracy 81.250 (76.391)
Epoch: [2][250/381]	Loss 0.4650 (0.6477)	Accuracy 85.156 (76.562)
Epoch: [2][260/381]	Loss 0.5141 (0.6442)	Accuracy 82.031 (76.634)
Epoch: [2][270/381]	Loss 0.3675 (0.6405)	Accuracy 85.938 (76.779)
Epoch: [2][280/381]	Loss 0.5047 (0.6387)	Accuracy 84.375 (76.879)
Epoch: [2][290/381]	Loss 0.6411 (0.6369)	Accuracy 75.781 (76.984)
Epoch: [2][300/381]	Loss 0.7303 (0.6356)	Accuracy 75.000 (77.074)
Epoch: [2][310/381]	Loss 0.6528 (0.6344)	Accuracy 76.562 (77.125)
Epoch: [2][320/381]	Loss 0.5165 (0.6316)	Accuracy 80.469 (77.249)
Epoch: [2][330/381]	Loss 0.5507 (0.6274)	Accuracy 77.344 (77.452)
Epoch: [2][340/381]	Loss 0.4494 (0.6238)	Accuracy 83.594 (77.580)
Epoch: [2][350/381]	Loss 0.3835 (0.6214)	Accuracy 86.719 (77.698)
Epoch: [2][360/381]	Loss 0.6600 (0.6199)	Accuracy 76.562 (77.748)
Epoch: [2][370/381]	Loss 0.6097 (0.6185)	Accuracy 82.031 (77.839)
Epoch: [2][380/381]	Loss 0.4957 (0.6168)	Accuracy 82.812 (77.891)
Test: [  0/109]	Loss 0.6490 (0.6490)	Accuracy 79.688 (79.688)
Test: [ 10/109]	Loss 0.6506 (0.7175)	Accuracy 76.562 (75.923)
Test: [ 20/109]	Loss 0.7730 (0.7247)	Accuracy 78.125 (76.116)
Test: [ 30/109]	Loss 0.5125 (0.7076)	Accuracy 82.031 (76.336)
Test: [ 40/109]	Loss 0.8139 (0.6907)	Accuracy 71.094 (76.639)
Test: [ 50/109]	Loss 0.7073 (0.6994)	Accuracy 75.000 (76.210)
Test: [ 60/109]	Loss 0.6606 (0.6938)	Accuracy 76.562 (76.447)
Test: [ 70/109]	Loss 0.5457 (0.6947)	Accuracy 82.031 (76.408)
Test: [ 80/109]	Loss 0.7109 (0.6993)	Accuracy 76.562 (76.225)
Test: [ 90/109]	Loss 0.6218 (0.7000)	Accuracy 81.250 (76.168)
Test: [100/109]	Loss 0.7401 (0.6980)	Accuracy 71.875 (76.245)
Current Accuracy: 76.323
The best accuracy: 76.3233413696289
An epoch time: 96.04182243347168s
********************3********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [3][  0/381]	Loss 0.3482 (0.3482)	Accuracy 88.281 (88.281)
Epoch: [3][ 10/381]	Loss 0.2324 (0.2789)	Accuracy 92.969 (91.335)
Epoch: [3][ 20/381]	Loss 0.2192 (0.2836)	Accuracy 91.406 (90.476)
Epoch: [3][ 30/381]	Loss 0.2679 (0.2804)	Accuracy 92.188 (90.348)
Epoch: [3][ 40/381]	Loss 0.2678 (0.2756)	Accuracy 89.844 (90.434)
Epoch: [3][ 50/381]	Loss 0.3597 (0.2783)	Accuracy 89.062 (90.472)
Epoch: [3][ 60/381]	Loss 0.3221 (0.2800)	Accuracy 87.500 (90.484)
Epoch: [3][ 70/381]	Loss 0.2422 (0.2829)	Accuracy 92.969 (90.482)
Epoch: [3][ 80/381]	Loss 0.2306 (0.2832)	Accuracy 89.062 (90.461)
Epoch: [3][ 90/381]	Loss 0.1501 (0.2828)	Accuracy 95.312 (90.513)
Epoch: [3][100/381]	Loss 0.2720 (0.2805)	Accuracy 91.406 (90.594)
Epoch: [3][110/381]	Loss 0.2879 (0.2831)	Accuracy 88.281 (90.491)
Epoch: [3][120/381]	Loss 0.3272 (0.2834)	Accuracy 89.062 (90.451)
Epoch: [3][130/381]	Loss 0.2457 (0.2838)	Accuracy 92.969 (90.369)
Epoch: [3][140/381]	Loss 0.2292 (0.2860)	Accuracy 93.750 (90.287)
Epoch: [3][150/381]	Loss 0.2739 (0.2901)	Accuracy 92.188 (90.128)
Epoch: [3][160/381]	Loss 0.2810 (0.2919)	Accuracy 91.406 (90.072)
Epoch: [3][170/381]	Loss 0.3352 (0.2905)	Accuracy 86.719 (90.090)
Epoch: [3][180/381]	Loss 0.3045 (0.2904)	Accuracy 91.406 (90.107)
Epoch: [3][190/381]	Loss 0.3219 (0.2894)	Accuracy 90.625 (90.159)
Epoch: [3][200/381]	Loss 0.2689 (0.2903)	Accuracy 93.750 (90.174)
Epoch: [3][210/381]	Loss 0.2363 (0.2902)	Accuracy 92.188 (90.166)
Epoch: [3][220/381]	Loss 0.2066 (0.2899)	Accuracy 92.969 (90.173)
Epoch: [3][230/381]	Loss 0.3523 (0.2900)	Accuracy 86.719 (90.195)
Epoch: [3][240/381]	Loss 0.3026 (0.2913)	Accuracy 89.062 (90.204)
Epoch: [3][250/381]	Loss 0.3943 (0.2904)	Accuracy 84.375 (90.205)
Epoch: [3][260/381]	Loss 0.2965 (0.2918)	Accuracy 85.938 (90.167)
Epoch: [3][270/381]	Loss 0.2449 (0.2929)	Accuracy 90.625 (90.132)
Epoch: [3][280/381]	Loss 0.2446 (0.2922)	Accuracy 90.625 (90.122)
Epoch: [3][290/381]	Loss 0.2174 (0.2923)	Accuracy 90.625 (90.101)
Epoch: [3][300/381]	Loss 0.3039 (0.2937)	Accuracy 92.969 (90.093)
Epoch: [3][310/381]	Loss 0.2110 (0.2927)	Accuracy 94.531 (90.125)
Epoch: [3][320/381]	Loss 0.2252 (0.2921)	Accuracy 91.406 (90.133)
Epoch: [3][330/381]	Loss 0.3606 (0.2926)	Accuracy 88.281 (90.127)
Epoch: [3][340/381]	Loss 0.2921 (0.2923)	Accuracy 92.969 (90.137)
Epoch: [3][350/381]	Loss 0.2394 (0.2917)	Accuracy 90.625 (90.153)
Epoch: [3][360/381]	Loss 0.2967 (0.2909)	Accuracy 90.625 (90.203)
Epoch: [3][370/381]	Loss 0.3504 (0.2917)	Accuracy 90.625 (90.212)
Epoch: [3][380/381]	Loss 0.2356 (0.2902)	Accuracy 92.188 (90.264)
Test: [  0/109]	Loss 0.7123 (0.7123)	Accuracy 83.594 (83.594)
Test: [ 10/109]	Loss 0.6728 (0.6771)	Accuracy 78.125 (80.895)
Test: [ 20/109]	Loss 0.5195 (0.6750)	Accuracy 80.469 (80.469)
Test: [ 30/109]	Loss 0.5720 (0.6581)	Accuracy 80.469 (80.217)
Test: [ 40/109]	Loss 0.8542 (0.6529)	Accuracy 75.000 (80.507)
Test: [ 50/109]	Loss 0.7112 (0.6677)	Accuracy 81.250 (80.300)
Test: [ 60/109]	Loss 0.5108 (0.6674)	Accuracy 82.031 (80.200)
Test: [ 70/109]	Loss 0.5040 (0.6651)	Accuracy 83.594 (80.337)
Test: [ 80/109]	Loss 0.6707 (0.6660)	Accuracy 82.031 (80.276)
Test: [ 90/109]	Loss 0.6334 (0.6649)	Accuracy 80.469 (80.400)
Test: [100/109]	Loss 0.7470 (0.6592)	Accuracy 77.344 (80.593)
Current Accuracy: 80.641
The best accuracy: 80.64122772216797
An epoch time: 95.73546743392944s
********************4********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [4][  0/381]	Loss 0.1884 (0.1884)	Accuracy 94.531 (94.531)
Epoch: [4][ 10/381]	Loss 0.1696 (0.1552)	Accuracy 95.312 (95.241)
Epoch: [4][ 20/381]	Loss 0.0799 (0.1490)	Accuracy 97.656 (95.461)
Epoch: [4][ 30/381]	Loss 0.1258 (0.1488)	Accuracy 97.656 (95.489)
Epoch: [4][ 40/381]	Loss 0.1022 (0.1519)	Accuracy 96.875 (95.408)
Epoch: [4][ 50/381]	Loss 0.1969 (0.1492)	Accuracy 95.312 (95.404)
Epoch: [4][ 60/381]	Loss 0.1877 (0.1486)	Accuracy 93.750 (95.248)
Epoch: [4][ 70/381]	Loss 0.1462 (0.1517)	Accuracy 92.969 (95.015)
Epoch: [4][ 80/381]	Loss 0.2999 (0.1542)	Accuracy 90.625 (94.936)
Epoch: [4][ 90/381]	Loss 0.1554 (0.1551)	Accuracy 92.969 (94.969)
Epoch: [4][100/381]	Loss 0.1070 (0.1530)	Accuracy 95.312 (95.019)
Epoch: [4][110/381]	Loss 0.1999 (0.1501)	Accuracy 92.969 (95.151)
Epoch: [4][120/381]	Loss 0.0770 (0.1518)	Accuracy 96.875 (95.112)
Epoch: [4][130/381]	Loss 0.1570 (0.1545)	Accuracy 92.969 (94.967)
Epoch: [4][140/381]	Loss 0.1316 (0.1536)	Accuracy 96.875 (95.024)
Epoch: [4][150/381]	Loss 0.1151 (0.1516)	Accuracy 96.094 (95.054)
Epoch: [4][160/381]	Loss 0.1251 (0.1508)	Accuracy 96.094 (95.070)
Epoch: [4][170/381]	Loss 0.1960 (0.1500)	Accuracy 92.969 (95.079)
Epoch: [4][180/381]	Loss 0.1105 (0.1485)	Accuracy 96.875 (95.140)
Epoch: [4][190/381]	Loss 0.1482 (0.1494)	Accuracy 96.094 (95.112)
Epoch: [4][200/381]	Loss 0.1487 (0.1513)	Accuracy 94.531 (95.064)
Epoch: [4][210/381]	Loss 0.2283 (0.1543)	Accuracy 93.750 (94.990)
Epoch: [4][220/381]	Loss 0.0949 (0.1558)	Accuracy 97.656 (94.977)
Epoch: [4][230/381]	Loss 0.1139 (0.1557)	Accuracy 96.875 (94.961)
Epoch: [4][240/381]	Loss 0.2023 (0.1570)	Accuracy 92.188 (94.891)
Epoch: [4][250/381]	Loss 0.1541 (0.1581)	Accuracy 92.969 (94.880)
Epoch: [4][260/381]	Loss 0.1861 (0.1573)	Accuracy 90.625 (94.893)
Epoch: [4][270/381]	Loss 0.1865 (0.1576)	Accuracy 94.531 (94.892)
Epoch: [4][280/381]	Loss 0.1041 (0.1574)	Accuracy 97.656 (94.904)
Epoch: [4][290/381]	Loss 0.1663 (0.1573)	Accuracy 93.750 (94.891)
Epoch: [4][300/381]	Loss 0.2314 (0.1578)	Accuracy 94.531 (94.876)
Epoch: [4][310/381]	Loss 0.2089 (0.1584)	Accuracy 92.969 (94.850)
Epoch: [4][320/381]	Loss 0.2293 (0.1602)	Accuracy 92.969 (94.828)
Epoch: [4][330/381]	Loss 0.1733 (0.1607)	Accuracy 93.750 (94.819)
Epoch: [4][340/381]	Loss 0.1551 (0.1600)	Accuracy 96.094 (94.834)
Epoch: [4][350/381]	Loss 0.1348 (0.1592)	Accuracy 96.875 (94.847)
Epoch: [4][360/381]	Loss 0.1297 (0.1597)	Accuracy 92.969 (94.802)
Epoch: [4][370/381]	Loss 0.1843 (0.1606)	Accuracy 95.312 (94.780)
Epoch: [4][380/381]	Loss 0.1049 (0.1606)	Accuracy 97.656 (94.779)
Test: [  0/109]	Loss 0.8100 (0.8100)	Accuracy 82.031 (82.031)
Test: [ 10/109]	Loss 0.7720 (0.7188)	Accuracy 78.125 (81.605)
Test: [ 20/109]	Loss 0.6332 (0.7335)	Accuracy 78.906 (81.510)
Test: [ 30/109]	Loss 0.4935 (0.6904)	Accuracy 85.938 (82.636)
Test: [ 40/109]	Loss 0.9293 (0.6834)	Accuracy 75.000 (82.374)
Test: [ 50/109]	Loss 0.6695 (0.6909)	Accuracy 82.812 (82.399)
Test: [ 60/109]	Loss 0.7266 (0.6883)	Accuracy 81.250 (82.441)
Test: [ 70/109]	Loss 0.4419 (0.6939)	Accuracy 83.594 (82.361)
Test: [ 80/109]	Loss 0.6648 (0.6971)	Accuracy 82.812 (82.243)
Test: [ 90/109]	Loss 0.4846 (0.6906)	Accuracy 85.938 (82.315)
Test: [100/109]	Loss 0.9040 (0.6848)	Accuracy 79.688 (82.433)
Current Accuracy: 82.420
The best accuracy: 82.42002868652344
An epoch time: 96.28870677947998s
********************5********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [5][  0/381]	Loss 0.1222 (0.1222)	Accuracy 94.531 (94.531)
Epoch: [5][ 10/381]	Loss 0.1567 (0.1164)	Accuracy 96.875 (96.236)
Epoch: [5][ 20/381]	Loss 0.0478 (0.1129)	Accuracy 98.438 (96.503)
Epoch: [5][ 30/381]	Loss 0.1414 (0.1075)	Accuracy 95.312 (96.673)
Epoch: [5][ 40/381]	Loss 0.1455 (0.1028)	Accuracy 96.094 (96.799)
Epoch: [5][ 50/381]	Loss 0.1677 (0.1059)	Accuracy 94.531 (96.676)
Epoch: [5][ 60/381]	Loss 0.2241 (0.1067)	Accuracy 91.406 (96.670)
Epoch: [5][ 70/381]	Loss 0.1505 (0.1111)	Accuracy 95.312 (96.501)
Epoch: [5][ 80/381]	Loss 0.2061 (0.1125)	Accuracy 94.531 (96.489)
Epoch: [5][ 90/381]	Loss 0.0646 (0.1120)	Accuracy 97.656 (96.489)
Epoch: [5][100/381]	Loss 0.1571 (0.1149)	Accuracy 95.312 (96.473)
Epoch: [5][110/381]	Loss 0.1214 (0.1177)	Accuracy 95.312 (96.368)
Epoch: [5][120/381]	Loss 0.1502 (0.1189)	Accuracy 95.312 (96.313)
Epoch: [5][130/381]	Loss 0.1557 (0.1197)	Accuracy 94.531 (96.308)
Epoch: [5][140/381]	Loss 0.1221 (0.1193)	Accuracy 93.750 (96.293)
Epoch: [5][150/381]	Loss 0.1188 (0.1197)	Accuracy 95.312 (96.254)
Epoch: [5][160/381]	Loss 0.1341 (0.1196)	Accuracy 93.750 (96.249)
Epoch: [5][170/381]	Loss 0.1344 (0.1201)	Accuracy 96.875 (96.276)
Epoch: [5][180/381]	Loss 0.1112 (0.1212)	Accuracy 96.875 (96.262)
Epoch: [5][190/381]	Loss 0.0922 (0.1206)	Accuracy 97.656 (96.270)
Epoch: [5][200/381]	Loss 0.1314 (0.1208)	Accuracy 95.312 (96.261)
Epoch: [5][210/381]	Loss 0.2493 (0.1221)	Accuracy 94.531 (96.201)
Epoch: [5][220/381]	Loss 0.1289 (0.1236)	Accuracy 94.531 (96.136)
Epoch: [5][230/381]	Loss 0.1259 (0.1241)	Accuracy 96.094 (96.111)
Epoch: [5][240/381]	Loss 0.1121 (0.1235)	Accuracy 94.531 (96.087)
Epoch: [5][250/381]	Loss 0.0330 (0.1231)	Accuracy 99.219 (96.112)
Epoch: [5][260/381]	Loss 0.1031 (0.1235)	Accuracy 96.094 (96.100)
Epoch: [5][270/381]	Loss 0.0784 (0.1234)	Accuracy 97.656 (96.100)
Epoch: [5][280/381]	Loss 0.1886 (0.1234)	Accuracy 94.531 (96.085)
Epoch: [5][290/381]	Loss 0.1596 (0.1225)	Accuracy 97.656 (96.134)
Epoch: [5][300/381]	Loss 0.0796 (0.1226)	Accuracy 96.094 (96.138)
Epoch: [5][310/381]	Loss 0.1926 (0.1230)	Accuracy 94.531 (96.109)
Epoch: [5][320/381]	Loss 0.1778 (0.1234)	Accuracy 93.750 (96.101)
Epoch: [5][330/381]	Loss 0.1501 (0.1225)	Accuracy 93.750 (96.120)
Epoch: [5][340/381]	Loss 0.1197 (0.1216)	Accuracy 97.656 (96.158)
Epoch: [5][350/381]	Loss 0.0538 (0.1214)	Accuracy 98.438 (96.172)
Epoch: [5][360/381]	Loss 0.1079 (0.1212)	Accuracy 97.656 (96.180)
Epoch: [5][370/381]	Loss 0.3260 (0.1225)	Accuracy 87.500 (96.125)
Epoch: [5][380/381]	Loss 0.0991 (0.1229)	Accuracy 97.656 (96.104)
Test: [  0/109]	Loss 0.6762 (0.6762)	Accuracy 83.594 (83.594)
Test: [ 10/109]	Loss 0.7032 (0.7145)	Accuracy 82.031 (81.960)
Test: [ 20/109]	Loss 0.6384 (0.7124)	Accuracy 82.031 (81.696)
Test: [ 30/109]	Loss 0.4924 (0.6873)	Accuracy 87.500 (82.283)
